,postcode,locality,long,lat,dc
14326,2221,CARSS PARK,151.10599,-33.992159,PEAKHURST DC
14327,2221,CONNELLS POINT,151.10599,-33.992159,PEAKHURST DC
14328,2221,KYLE BAY,151.10599,-33.992159,PEAKHURST DC
14329,2221,SOUTH HURSTVILLE,151.10599,-33.992159,PEAKHURST DC
14330,2222,PENSHURST,151.084774,-33.964713,PEAKHURST DC
14331,2223,MORTDALE,151.07183700000002,-33.980264,PEAKHURST DC
14332,2223,OATLEY,151.07183700000002,-33.980264,PEAKHURST DC
14333,2224,KANGAROO POINT,151.101891,-34.01362,TAREN POINT DC
14334,2224,SYLVANIA,151.101891,-34.01362,TAREN POINT DC
14335,2224,SYLVANIA SOUTHGATE,151.101891,-34.01362,SYLVANIA SOUTHGATE LPO
14336,2224,SYLVANIA WATERS,151.101891,-34.01362,TAREN POINT DC
14339,2226,BONNET BAY,151.063808,-34.009345,KIRRAWEE DC
14340,2226,COMO,151.063808,-34.009345,KIRRAWEE DC
14341,2226,JANNALI,151.063808,-34.009345,KIRRAWEE DC
14342,2227,GYMEA,151.085005,-34.04984,KIRRAWEE DC
14343,2227,GYMEA BAY,151.085005,-34.04984,KIRRAWEE DC
14344,2228,MIRANDA,151.101564,-34.037692,TAREN POINT DC
14345,2228,YOWIE BAY,151.101564,-34.037692,TAREN POINT DC
14346,2229,CARINGBAH,151.120091,-34.05494,TAREN POINT DC
14347,2229,DOLANS BAY,151.120091,-34.05494,TAREN POINT DC
14348,2229,LILLI PILLI,151.120091,-34.05494,TAREN POINT DC
14349,2229,PORT HACKING,151.120091,-34.05494,TAREN POINT DC
14350,2229,TAREN POINT,151.120091,-34.05494,TAREN POINT DC
14351,2229,WARUMBUL,151.120091,-34.05494,TAREN POINT DC
14352,2230,BUNDEENA,151.136596,-34.093213,TAREN POINT DC
14353,2230,BURRANEER,151.136596,-34.093213,TAREN POINT DC
14354,2230,CRONULLA,151.136596,-34.093213,TAREN POINT DC
14355,2230,MAIANBAR,151.136596,-34.093213,TAREN POINT DC
14356,2230,WOOLOOWARE,151.136596,-34.093213,TAREN POINT DC
14357,2231,KURNELL,151.193492,-34.029927,TAREN POINT DC
14358,2232,AUDLEY,151.06432900000001,-34.061753,KIRRAWEE DC
14359,2232,GARIE,151.06432900000001,-34.061753,KIRRAWEE DC
14360,2232,GRAYS POINT,151.06432900000001,-34.061753,KIRRAWEE DC
14361,2232,KAREELA,151.06432900000001,-34.061753,KIRRAWEE DC
14362,2232,KIRRAWEE,151.06432900000001,-34.061753,KIRRAWEE DC
14363,2232,LOFTUS,151.06432900000001,-34.061753,KIRRAWEE DC
14364,2232,SUTHERLAND,151.06432900000001,-34.061753,KIRRAWEE DC
14365,2232,WORONORA,151.06432900000001,-34.061753,KIRRAWEE DC
14366,2233,ENGADINE,151.027919,-34.114626,KIRRAWEE DC
14367,2233,HEATHCOTE,151.027919,-34.114626,KIRRAWEE DC
14368,2233,WATERFALL,151.027919,-34.114626,KIRRAWEE DC
14369,2233,WORONORA HEIGHTS,151.027919,-34.114626,KIRRAWEE DC
14370,2233,YARRAWARRAH,151.027919,-34.114626,KIRRAWEE DC
14371,2234,ALFORDS POINT,151.004412,-34.021938,KIRRAWEE DC
14372,2234,BANGOR,151.004412,-34.021938,KIRRAWEE DC
14373,2234,BARDEN RIDGE,151.004412,-34.021938,KIRRAWEE DC
14374,2234,ILLAWONG,151.004412,-34.021938,KIRRAWEE DC
14375,2234,LUCAS HEIGHTS,151.004412,-34.021938,KIRRAWEE DC
14376,2234,MENAI,151.004412,-34.021938,MENAI CENTRAL LPO
14377,2234,MENAI CENTRAL,151.004412,-34.021938,MENAI CENTRAL LPO
14419,2147,LALOR PARK,150.93583600000002,-33.766075,SEVEN HILLS DF
14420,2147,SEVEN HILLS,150.93583600000002,-33.766075,SEVEN HILLS DF
14421,2147,SEVEN HILLS WEST,150.93583600000002,-33.766075,SEVEN HILLS DF
14422,2148,ARNDELL PARK,150.900547,-33.783751,SEVEN HILLS DF
14423,2148,BLACKTOWN,150.900547,-33.783751,BLACKTOWN WESTPOINT POST SHOP
14424,2148,BLACKTOWN WESTPOINT,150.900547,-33.783751,BLACKTOWN WESTPOINT POST SHOP
14425,2148,HUNTINGWOOD,150.900547,-33.783751,SEVEN HILLS DF
14426,2148,KINGS PARK,150.900547,-33.783751,SEVEN HILLS DF
14427,2148,MARAYONG,150.900547,-33.783751,SEVEN HILLS DF
14428,2148,PROSPECT,150.900547,-33.783751,SEVEN HILLS DF
14429,2150,HARRIS PARK,151.006506,-33.814463,PARRAMATTA DC
14430,2150,PARRAMATTA,151.006506,-33.814463,PARRAMATTA WESTFIELD POST SHOP
14431,2150,PARRAMATTA WESTFIELD,151.006506,-33.814463,PARRAMATTA WESTFIELD POST SHOP
14432,2151,NORTH PARRAMATTA,151.01251100000002,-33.78709,PARRAMATTA DC
14433,2151,NORTH ROCKS,151.01251100000002,-33.78709,PARRAMATTA DC
14434,2152,NORTHMEAD,150.996388,-33.782501,PARRAMATTA DC
14435,2153,BAULKHAM HILLS,150.955942,-33.731651,SEVEN HILLS DF
14436,2153,BELLA VISTA,150.955942,-33.731651,SEVEN HILLS DF
14437,2153,CRESTWOOD,150.955942,-33.731651,
14438,2153,WINSTON HILLS,150.955942,-33.731651,SEVEN HILLS DF
14439,2154,CASTLE HILL,151.000948,-33.73238,DURAL DC
14440,2155,BEAUMONT HILLS,150.931074,-33.731522999999996,SEVEN HILLS DF
14441,2155,KELLYVILLE,150.931074,-33.731522999999996,SEVEN HILLS DF
